sample_id,K,Keff,B,M,f_ibd,l_ibd,n50_ibd,samp00,samp01,samp02,prop00,prop01,prop02
SMI000-K03-B01-M02,3,2.2596904848738633,1,2,0.3333333333333333,405.92492307692305,716.143,QG0258-C,QG0186-C,QG0287-C,0.1722859433418279,0.2263726859498513,0.6013413707083208
SMI001-K03-B01-M03,3,1.257562336409882,1,3,0.6538477621730227,504.932243902439,708.594,QG0229-C,QG0186-C,QG0194-C,0.8857081811326103,0.10285650610588783,0.011435312761501948
SMI002-K03-B03-M00,3,2.7810979419229676,3,0,0.0,0.0,0.0,QG0292-C,QG0264-C,QG0269-C,0.21429319618884535,0.4427585905853498,0.3429482132258048
SMI003-K03-B01-M01,3,2.651569228290708,1,1,0.2311985410716343,375.39699999999993,919.947,QG0284-C,QG0296-C,QG0292-C,0.34552185132619967,0.17962641853442696,0.4748517301393733
SMI004-K03-B02-M02,3,2.57175630882169,2,2,0.2594040694148823,586.6634999999999,1197.493,QG0293-C,QG0228-C,QG0243-C,0.5251323128318122,0.2246721069470222,0.25019558022116567
SMI005-K03-B02-M03,3,2.9404297266575985,2,3,0.26059343928193873,550.0631333333333,1315.939,QG0198-C,QG0260-C,QG0268-C,0.397176015476448,0.2835349106665323,0.3192890738570197
SMI006-K03-B01-M02,3,2.1728702365625985,1,2,0.5276684042622003,417.67782500000004,809.612,QG0266-C,QG0289-C,QG0204-C,0.1652937690638498,0.2117667737905794,0.6229394571455709
SMI007-K03-B01-M03,3,1.973737177257703,1,3,0.558677643560714,436.7637530864198,834.696,QG0277-C,QG0241-C,QG0194-C,0.2792733847970601,0.06972950064145704,0.6509971145614828
SMI008-K03-B03-M00,3,1.9271292740590034,3,0,0.0,0.0,0.0,QG0206-C,QG0255-C,QG0186-C,0.6088604607354455,0.3849112841043597,0.006228255160194851
SMI009-K03-B01-M03,3,2.960152043460834,1,3,0.685109100634499,522.6993493975904,1052.148,QG0183-C,QG0277-C,QG0263-C,0.38130818996461896,0.3320920222990863,0.2865997877362947
SMI010-K03-B03-M00,3,2.9488629774617627,3,0,0.0,0.0,0.0,QG0271-C,QG0300-C,QG0286-C,0.30164799612942433,0.30294569962882534,0.3954063042417502
SMI011-K03-B03-M00,3,2.8896317219641943,3,0,0.0,0.0,0.0,QG0281-C,QG0277-C,QG0188-C,0.24378404414920452,0.39685517513504764,0.35936078071574784
SMI012-K03-B01-M02,3,2.789768425250953,1,2,0.6638072898664096,568.0422162162163,1104.327,QG0247-C,QG0223-C,QG0221-C,0.30932640828817615,0.45546140537417934,0.2352121863376444
SMI013-K03-B01-M03,3,2.031719988595142,1,3,0.764793186462673,576.5474285714287,931.906,QG0185-C,QG0220-C,QG0189-C,0.08172512567871028,0.2803911918519223,0.6378836824693674
SMI014-K03-B02-M01,3,2.799716365810449,2,1,0.22377574936176148,745.8126315789474,1181.049,QG0285-C,QG0278-C,QG0262-C,0.4076998920106149,0.20797373140557107,0.38432637658381413
SMI015-K03-B01-M01,3,1.588754677663687,1,1,0.33402690607433283,335.74628571428576,735.499,QG0246-C,QG0252-C,QG0185-C,0.18618642634029148,0.7699578467579148,0.043855726901793825
SMI016-K03-B02-M01,3,2.3382282076067025,2,1,0.12309791781630453,371.1946666666666,583.164,QG0287-C,QG0232-C,QG0198-C,0.39928429785579866,0.5099009542938302,0.09081474785037118
SMI017-K03-B03-M00,3,2.6107623714430095,3,0,0.0,0.0,0.0,QG0243-C,QG0280-C,QG0213-C,0.48940288623396305,0.17418139014497666,0.3364157236210602
SMI018-K03-B02-M01,3,1.8866752023781697,2,1,0.12686258706927744,422.8148947368421,1101.831,QG0273-C,QG0257-C,QG0184-C,0.675325095208621,0.059230574400978626,0.2654443303904004
SMI019-K03-B02-M02,3,2.0649303166389497,2,2,0.17041982374914347,490.5324545454545,752.782,QG0191-C,QG0257-C,QG0201-C,0.5438650064710134,0.02256916133703315,0.4335658321919534
