sample_id,K,Keff,B,M,f_ibd,l_ibd,n50_ibd,samp00,samp01,prop00,prop01
SMI000-K02-B01-M02,2,1.2159979603284397,1,2,0.6099542564142212,495.19126923076914,919.719,QG0281-C,QG0201-C,0.09852160676814893,0.9014783932318511
SMI001-K02-B01-M01,2,1.7935574243816745,1,1,0.5257863617827018,584.1236315789474,960.19,QG0253-C,QG0195-C,0.6696336456313013,0.33036635436869866
SMI002-K02-B02-M00,2,1.6300480533215127,2,0,0.0,0.0,0.0,QG0278-C,QG0263-C,0.26179961501699256,0.7382003849830076
SMI003-K02-B01-M03,2,1.127793503391586,1,3,0.7555182144329834,531.5850333333333,887.945,QG0210-C,QG0285-C,0.9397085077171051,0.060291492282894835
SMI004-K02-B01-M02,2,1.8239654482245633,1,2,0.5869865287707616,387.19275,673.583,QG0206-C,QG0221-C,0.34466809797828063,0.6553319020217194
SMI005-K02-B02-M00,2,1.272714627180575,2,0,0.0,0.0,0.0,QG0215-C,QG0248-C,0.8779696366650337,0.1220303633349662
SMI006-K02-B02-M00,2,1.3096307164730079,2,0,0.0,0.0,0.0,QG0275-C,QG0221-C,0.1369751888961027,0.8630248111038973
SMI007-K02-B02-M00,2,1.092905421486049,2,0,0.0,0.0,0.0,QG0260-C,QG0288-C,0.04448256972875327,0.9555174302712468
SMI008-K02-B02-M00,2,1.8080710320423807,2,0,0.0,0.0,0.0,QG0204-C,QG0214-C,0.3370957089264825,0.6629042910735173
SMI009-K02-B01-M02,2,1.682556452605089,1,2,0.6425889857616717,452.12766666666664,925.164,QG0288-C,QG0284-C,0.7171793024778993,0.2828206975221007
SMI010-K02-B02-M00,2,1.5869392696523648,2,0,0.0,0.0,0.0,QG0293-C,QG0211-C,0.2449080198172035,0.7550919801827964
SMI011-K02-B02-M00,2,1.9100326430242407,2,0,0.0,0.0,0.0,QG0251-C,QG0206-C,0.39148442133763395,0.608515578662366
SMI012-K02-B01-M01,2,1.4445637037711587,1,1,0.3194064021691013,449.4707333333333,1217.799,QG0201-C,QG0196-C,0.18995924684728266,0.8100407531527174
SMI013-K02-B02-M00,2,1.2309297037886182,2,0,0.0,0.0,0.0,QG0203-C,QG0185-C,0.10478229003240926,0.8952177099675909
SMI014-K02-B01-M01,2,1.949515422897319,1,1,0.3105024726057717,327.70579999999995,588.552,QG0234-C,QG0197-C,0.5804611115598363,0.41953888844016374
SMI015-K02-B02-M00,2,1.0791552232870403,2,0,0.0,0.0,0.0,QG0282-C,QG0248-C,0.038128398385190575,0.9618716016148094
SMI016-K02-B01-M02,2,1.1340648001712803,1,2,0.6028612433826338,553.2718695652175,945.98,QG0206-C,QG0202-C,0.06308820833772194,0.9369117916622781
SMI017-K02-B02-M00,2,1.5946855295360098,2,0,0.0,0.0,0.0,QG0216-C,QG0186-C,0.7520742781542634,0.24792572184573655
SMI018-K02-B02-M00,2,1.3291850080676764,2,0,0.0,0.0,0.0,QG0228-C,QG0247-C,0.14479532977530774,0.8552046702246923
SMI019-K02-B01-M01,2,1.9920695626126763,1,1,0.6890538587658499,727.2307500000001,1303.332,QG0299-C,QG0295-C,0.531547599932952,0.46845240006704797
