sample_id,K,Keff,B,M,f_ibd,l_ibd,n50_ibd,samp00,samp01,samp02,samp03,prop00,prop01,prop02,prop03
SMI000-K04-B01-M03,4,2.8196740196807997,1,3,0.7296010813418068,669.5865072463768,1281.202,QG0211-C,QG0284-C,QG0194-C,QG0212-C,0.031805405136798706,0.19250974142203808,0.4765437372764272,0.299141116164736
SMI001-K04-B02-M01,4,2.976478698894403,2,1,0.08537671990879711,308.93828571428577,528.639,QG0220-C,QG0226-C,QG0273-C,QG0269-C,0.21527574710345754,0.23872008652515458,0.06858062869581724,0.47742353767557055
SMI002-K04-B01-M03,4,2.220380177001523,1,3,0.678638581771342,380.3035840707965,619.668,QG0293-C,QG0207-C,QG0254-C,QG0188-C,0.09026254511776158,0.1372886781466626,0.13618513237566032,0.6362636443599156
SMI003-K04-B01-M02,4,2.9972956274966576,1,2,0.5427337374878973,386.1598595505618,697.539,QG0277-C,QG0244-C,QG0255-C,QG0271-C,0.384892409562442,0.3322546553737866,0.27389509757918834,0.00895783748458305
SMI004-K04-B03-M01,4,1.3613764990359682,3,1,0.04755481814497465,301.1375,473.023,QG0275-C,QG0266-C,QG0204-C,QG0250-C,0.07664795612491947,0.8521380442257173,0.03498121381386305,0.03623278583550005
SMI005-K04-B01-M03,4,2.807406158806768,1,3,0.5620535994024916,378.63451063829785,796.584,QG0249-C,QG0196-C,QG0213-C,QG0195-C,0.2861634009578596,0.2060965560050314,0.4807349901992217,0.027005052837887143
SMI006-K04-B02-M01,4,2.2256911104281403,2,1,0.16666666666666669,363.93268965517245,692.116,QG0261-C,QG0203-C,QG0299-C,QG0291-C,0.06732808014033527,0.1305089801958281,0.6312990731783082,0.1708638664855286
SMI007-K04-B02-M02,4,2.464642100615363,2,2,0.21702676704395005,376.52234246575347,570.182,QG0212-C,QG0292-C,QG0200-C,QG0250-C,0.15150267732907752,0.01418821042362213,0.2857235677738208,0.5485855444734795
SMI008-K04-B01-M03,4,3.6731783709940617,1,3,0.6717308294094047,472.6319611111112,931.906,QG0207-C,QG0288-C,QG0235-C,QG0212-C,0.17747481861277112,0.18893260599478082,0.2702604248369981,0.3633321505554501
SMI009-K04-B03-M02,4,2.9205801918965273,3,2,0.11986488501852562,722.8912857142857,1197.316,QG0185-C,QG0267-C,QG0265-C,QG0188-C,0.11094022129811848,0.49370218258026566,0.26168789204413545,0.13366970407748047
SMI010-K04-B04-M00,4,3.343919774284842,4,0,0.0,0.0,0.0,QG0228-C,QG0282-C,QG0237-C,QG0255-C,0.402882608222653,0.1047341852371164,0.2938674886384415,0.19851571790178912
SMI011-K04-B03-M02,4,2.293774333684628,3,2,0.0884981920365216,400.29178571428565,949.137,QG0264-C,QG0243-C,QG0218-C,QG0188-C,0.2980588654608143,0.011009462634169605,0.11275454025434137,0.5781771316506747
SMI012-K04-B01-M02,4,1.359179275107007,1,2,0.22368767099284245,745.5190789473684,1288.808,QG0190-C,QG0257-C,QG0228-C,QG0277-C,0.08851053597132477,0.8520685778753914,0.03738244972294863,0.022038436430335047
SMI013-K04-B01-M03,4,2.6600236664126817,1,3,0.7465121913411803,685.1065652173913,1303.332,QG0257-C,QG0195-C,QG0299-C,QG0202-C,0.5445162614187763,0.15458046373035197,0.07878562129185421,0.22211765355901741
SMI014-K04-B04-M00,4,2.615125358308812,4,0,0.0,0.0,0.0,QG0286-C,QG0269-C,QG0188-C,QG0262-C,0.13333812506856754,0.10166896118198336,0.2069001380129236,0.5580927757365254
SMI015-K04-B02-M03,4,1.835782127661145,2,3,0.41456066588541834,632.5725060240965,1068.691,QG0293-C,QG0284-C,QG0296-C,QG0218-C,0.7088531199144124,0.09144238042564024,0.18337336170492416,0.01633113795502316
SMI016-K04-B04-M00,4,2.514611972734166,4,0,0.0,0.0,0.0,QG0271-C,QG0224-C,QG0282-C,QG0213-C,0.07507211352454879,0.10542833370846177,0.5599745335198734,0.25952501924711613
SMI017-K04-B02-M02,4,3.102886312184636,2,2,0.21605724173321936,463.78545762711866,721.322,QG0281-C,QG0184-C,QG0291-C,QG0265-C,0.3893108400684913,0.21746553115503184,0.04476652909273303,0.3484570996837437
SMI018-K04-B03-M01,4,1.3825063239134194,3,1,0.09650317742222386,531.3908695652175,754.852,QG0292-C,QG0234-C,QG0225-C,QG0264-C,0.03668153960739223,0.0073171684727895946,0.8419757038661418,0.11402558805367627
SMI019-K04-B02-M03,4,2.984310506505112,2,3,0.28418456122238595,765.7780851063828,1251.134,QG0183-C,QG0230-C,QG0221-C,QG0209-C,0.4890447752818256,0.15888511833614088,0.11008119658960132,0.2419889097924321
